,batter,batsman_run,Category,Double_Runs,Contributed Runs,Ranks of Batsman,Performance Group,Length of Player name,corr btw LoPN and Runs,Modified Runs
521,SW Tait,23,Low,46,0.00818566512088092,408.0,Silver,7,-0.09476268319619681,23
175,GB Hogg,22,Low,44,0.00782976663736436,414.0,Silver,7,-0.09476268319619681,22
188,HE van der Dussen,22,Low,44,0.00782976663736436,414.0,Silver,17,-0.09476268319619681,22
262,KL Nagarkoti,22,Low,44,0.00782976663736436,414.0,Silver,12,-0.09476268319619681,22
478,SA Abbott,22,Low,44,0.00782976663736436,414.0,Silver,9,-0.09476268319619681,22
78,B Indrajith,21,Low,42,0.0074738681538477954,418.0,Silver,11,-0.09476268319619681,21
134,DE Bollinger,21,Low,42,0.0074738681538477954,418.0,Silver,12,-0.09476268319619681,21
560,TU Deshpande,21,Low,42,0.0074738681538477954,418.0,Silver,12,-0.09476268319619681,21
30,AC Thomas,20,Low,40,0.007117969670331234,421.0,Silver,9,-0.09476268319619681,20
54,AS Joseph,20,Low,40,0.007117969670331234,421.0,Silver,9,-0.09476268319619681,20
198,Harpreet Singh,20,Low,40,0.007117969670331234,421.0,Silver,14,-0.09476268319619681,20
302,M Muralitharan,20,Low,40,0.007117969670331234,421.0,Silver,14,-0.09476268319619681,20
361,NJ Maddinson,20,Low,40,0.007117969670331234,421.0,Silver,12,-0.09476268319619681,20
443,RR Raje,20,Low,40,0.007117969670331234,421.0,Silver,7,-0.09476268319619681,20
465,S Kaul,20,Low,40,0.007117969670331234,421.0,Silver,6,-0.09476268319619681,20
11,A Mukund,19,Low,38,0.006762071186814673,428.0,Silver,8,-0.09476268319619681,19
156,DR Martyn,19,Low,38,0.006762071186814673,428.0,Silver,9,-0.09476268319619681,19
381,P Ray Barman,19,Low,38,0.006762071186814673,428.0,Silver,12,-0.09476268319619681,19
382,P Sahu,19,Low,38,0.006762071186814673,428.0,Silver,6,-0.09476268319619681,19
407,R Bishnoi,19,Low,38,0.006762071186814673,428.0,Silver,9,-0.09476268319619681,19
419,R Shukla,19,Low,38,0.006762071186814673,428.0,Silver,8,-0.09476268319619681,19
583,Vishnu Vinod,19,Low,38,0.006762071186814673,428.0,Silver,12,-0.09476268319619681,19
591,Y Gnaneswara Rao,19,Low,38,0.006762071186814673,428.0,Silver,16,-0.09476268319619681,19
93,BJ Haddin,18,Low,36,0.006406172703298111,436.0,Silver,9,-0.09476268319619681,18
145,DJ Willey,18,Low,36,0.006406172703298111,436.0,Silver,9,-0.09476268319619681,18
161,DS Lehmann,18,Low,36,0.006406172703298111,436.0,Silver,10,-0.09476268319619681,18
196,Harmeet Singh,18,Low,36,0.006406172703298111,436.0,Silver,13,-0.09476268319619681,18
229,JJ van der Wath,18,Low,36,0.006406172703298111,436.0,Silver,15,-0.09476268319619681,18
239,JR Hazlewood,18,Low,36,0.006406172703298111,436.0,Silver,12,-0.09476268319619681,18
265,KMA Paul,18,Low,36,0.006406172703298111,436.0,Silver,8,-0.09476268319619681,18
368,NT Ellis,18,Low,36,0.006406172703298111,436.0,Silver,8,-0.09476268319619681,18
399,PV Tambe,18,Low,36,0.006406172703298111,436.0,Silver,8,-0.09476268319619681,18
540,T Banton,18,Low,36,0.006406172703298111,436.0,Silver,8,-0.09476268319619681,18
403,Parvez Rasool,17,Low,34,0.006050274219781549,446.0,Silver,13,-0.09476268319619681,17
103,C Sakariya,16,Low,32,0.005694375736264988,447.0,Silver,10,-0.09476268319619681,16
114,CK Kapugedera,16,Low,32,0.005694375736264988,447.0,Silver,13,-0.09476268319619681,16
395,PP Ojha,16,Low,32,0.005694375736264988,447.0,Silver,7,-0.09476268319619681,16
100,C Madan,15,Low,30,0.005338477252748426,450.0,Bronze,7,-0.09476268319619681,15
184,GR Napier,15,Low,30,0.005338477252748426,450.0,Bronze,9,-0.09476268319619681,15
202,I Udana,15,Low,30,0.005338477252748426,450.0,Bronze,7,-0.09476268319619681,15
217,JA Richardson,15,Low,30,0.005338477252748426,450.0,Bronze,13,-0.09476268319619681,15
231,JL Pattinson,15,Low,30,0.005338477252748426,450.0,Bronze,12,-0.09476268319619681,15
488,SD Lad,15,Low,30,0.005338477252748426,450.0,Bronze,6,-0.09476268319619681,15
581,VY Mahesh,15,Low,30,0.005338477252748426,450.0,Bronze,9,-0.09476268319619681,15
582,Virat Singh,15,Low,30,0.005338477252748426,450.0,Bronze,11,-0.09476268319619681,15
168,F Behardien,14,Low,28,0.0049825787692318645,458.0,Bronze,11,-0.09476268319619681,14
170,FA Allen,14,Low,28,0.0049825787692318645,458.0,Bronze,8,-0.09476268319619681,14
318,MDKJ Perera,14,Low,28,0.0049825787692318645,458.0,Bronze,11,-0.09476268319619681,14
158,DR Shorey,13,Low,26,0.004626680285715302,461.0,Bronze,9,-0.09476268319619681,13
163,DT Patil,13,Low,26,0.004626680285715302,461.0,Bronze,8,-0.09476268319619681,13
258,KJ Abbott,13,Low,26,0.004626680285715302,461.0,Bronze,9,-0.09476268319619681,13
278,Kartik Tyagi,13,Low,26,0.004626680285715302,461.0,Bronze,12,-0.09476268319619681,13
459,S Badree,13,Low,26,0.004626680285715302,461.0,Bronze,8,-0.09476268319619681,13
20,AA Chavan,12,Low,24,0.004270781802198741,466.0,Bronze,9,-0.09476268319619681,12
52,AR Bawne,12,Low,24,0.004270781802198741,466.0,Bronze,8,-0.09476268319619681,12
131,DAJ Bracewell,12,Low,24,0.004270781802198741,466.0,Bronze,13,-0.09476268319619681,12
248,K Upadhyay,12,Low,24,0.004270781802198741,466.0,Bronze,10,-0.09476268319619681,12
277,Karanveer Singh,12,Low,24,0.004270781802198741,466.0,Bronze,15,-0.09476268319619681,12
353,Mujeeb Ur Rahman,12,Low,24,0.004270781802198741,466.0,Bronze,16,-0.09476268319619681,12
355,Mustafizur Rahman,12,Low,24,0.004270781802198741,466.0,Bronze,17,-0.09476268319619681,12
455,Rasikh Salam,12,Low,24,0.004270781802198741,466.0,Bronze,12,-0.09476268319619681,12
539,Swapnil Singh,12,Low,24,0.004270781802198741,466.0,Bronze,13,-0.09476268319619681,12
547,T Thushara,12,Low,24,0.004270781802198741,466.0,Bronze,10,-0.09476268319619681,12
151,DNT Zoysa,11,Low,22,0.00391488331868218,476.0,Bronze,9,-0.09476268319619681,11
303,M Ntini,11,Low,22,0.00391488331868218,476.0,Bronze,7,-0.09476268319619681,11
422,RA Bawa,11,Low,22,0.00391488331868218,476.0,Bronze,7,-0.09476268319619681,11
541,T Henderson,11,Low,22,0.00391488331868218,476.0,Bronze,11,-0.09476268319619681,11
542,T Kohli,11,Low,22,0.00391488331868218,476.0,Bronze,7,-0.09476268319619681,11
38,AG Murtaza,10,Low,20,0.003558984835165617,481.0,Bronze,10,-0.09476268319619681,10
90,BB Sran,10,Low,20,0.003558984835165617,481.0,Bronze,7,-0.09476268319619681,10
128,D du Preez,10,Low,20,0.003558984835165617,481.0,Bronze,10,-0.09476268319619681,10
214,J Theron,10,Low,20,0.003558984835165617,481.0,Bronze,8,-0.09476268319619681,10
252,KAJ Roach,10,Low,20,0.003558984835165617,481.0,Bronze,9,-0.09476268319619681,10
501,SMSM Senanayake,10,Low,20,0.003558984835165617,481.0,Bronze,15,-0.09476268319619681,10
549,TD Paine,10,Low,20,0.003558984835165617,481.0,Bronze,8,-0.09476268319619681,10
590,X Thalaivan Sargunam,10,Low,20,0.003558984835165617,481.0,Bronze,20,-0.09476268319619681,10
22,AA Noffke,9,Low,18,0.0032030863516490553,489.0,Bronze,9,-0.09476268319619681,Low Score
295,M Jansen,9,Low,18,0.0032030863516490553,489.0,Bronze,8,-0.09476268319619681,Low Score
304,M Prasidh Krishna,9,Low,18,0.0032030863516490553,489.0,Bronze,17,-0.09476268319619681,Low Score
498,SM Harwood,9,Low,18,0.0032030863516490553,489.0,Bronze,10,-0.09476268319619681,Low Score
13,A Nortje,8,Low,16,0.002847187868132494,493.0,Bronze,8,-0.09476268319619681,Low Score
113,CJ McKay,8,Low,16,0.002847187868132494,493.0,Bronze,8,-0.09476268319619681,Low Score
115,CK Langeveldt,8,Low,16,0.002847187868132494,493.0,Bronze,13,-0.09476268319619681,Low Score
238,JPR Scantlebury-Searles,8,Low,16,0.002847187868132494,493.0,Bronze,23,-0.09476268319619681,Low Score
242,Jaskaran Singh,8,Low,16,0.002847187868132494,493.0,Bronze,14,-0.09476268319619681,Low Score
372,OC McCoy,8,Low,16,0.002847187868132494,493.0,Bronze,8,-0.09476268319619681,Low Score
375,P Chopra,8,Low,16,0.002847187868132494,493.0,Bronze,8,-0.09476268319619681,Low Score
456,Ravi Bishnoi,8,Low,16,0.002847187868132494,493.0,Bronze,12,-0.09476268319619681,Low Score
